id,换卡_count,POS消费_mean,卡充值_mean,POS消费_sum,POS消费_count,圈存转账_sum,POS消费_max,圈存转账_mean,POS消费_min,卡充值_sum,圈存转账_count,卡补办_sum,卡充值_count,支付领取_min,POS消费_median,卡片销户_min,卡补办_count,支付领取_sum,支付领取_count,圈存转账_min,卡充值_min,更新卡信息_max,卡挂失_count,卡补办_median,换卡_mean,换卡_sum,卡补办_max,换卡_min
0,0.0,4.01910743802,109.565217391,2431.56,605.0,0.0,36.4,0.0,0.01,2520.0,0.0,0.0,23.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,4.39773952096,181.818181818,2937.69,668.0,0.0,33.3,0.0,-3.54,2000.0,0.0,0.0,11.0,100.0,3.0,0.0,0.0,1200.0,7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,3.77770011274,163.157894737,3350.82,887.0,0.0,30.0,0.0,-1.88,3100.0,0.0,0.0,19.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,4.38711851278,283.333333333,5663.77,1291.0,4950.0,50.0,159.677419355,-3.54,1700.0,31.0,0.0,6.0,0.0,3.6,0.0,0.0,0.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,4.28422808379,152.564102564,5522.37,1289.0,0.0,31.5,0.0,-25.0,5950.0,0.0,0.0,39.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,4.70026031746,165.11627907,7402.91,1575.0,0.0,61.13,0.0,-2.88,7100.0,0.0,0.0,43.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,3.56303921569,103.846153846,2907.44,816.0,0.0,100.0,0.0,-7.9,2700.0,0.0,96.15,26.0,0.0,2.05,81.15,1.0,0.0,0.0,0.0,50.0,0.0,1.0,96.15,0.0,0.0,96.15,0.0
11,0.0,3.0912037037,131.818181818,2670.8,864.0,0.0,15.0,0.0,-6.0,2900.0,0.0,117.7,22.0,0.0,2.0,102.7,1.0,0.0,0.0,0.0,50.0,85.0,1.0,117.7,0.0,0.0,117.7,0.0
12,1.0,5.6817641419,119.047619048,5926.08,1043.0,0.0,69.6,0.0,0.01,2500.0,0.0,20.7,21.0,5.0,3.7,5.7,1.0,1725.0,20.0,0.0,100.0,0.0,1.0,20.7,0.0,0.0,20.7,0.0
13,0.0,27.4571428571,500.0,384.4,14.0,0.0,100.0,0.0,0.3,500.0,0.0,0.0,1.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,7.57666666667,800.0,90.92,12.0,0.0,30.0,0.0,0.01,800.0,0.0,0.0,1.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,6.00420634921,162.5,1513.06,252.0,0.0,30.0,0.0,-21.2,650.0,0.0,221.5,4.0,100.0,4.6,6.5,1.0,700.0,7.0,0.0,100.0,0.0,2.0,221.5,0.0,0.0,221.5,0.0
20,0.0,4.90161237785,90.4285714286,3009.59,614.0,0.0,30.0,0.0,-4.0,3165.0,0.0,37.07,35.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,20.0,0.0,3.0,18.535,0.0,0.0,21.07,0.0
21,0.0,6.52576131687,96.875,1585.76,243.0,0.0,33.0,0.0,0.01,1550.0,0.0,0.0,16.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,5.61135761589,364.117647059,5083.89,906.0,0.0,71.1,0.0,-14.0,6190.0,0.0,0.0,17.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,5.45871097684,271.5,5420.5,993.0,0.0,28.7,0.0,-3.42,5430.0,0.0,17.13,20.0,0.0,4.4,2.13,1.0,0.0,0.0,0.0,20.0,0.0,1.0,17.13,0.0,0.0,17.13,0.0
24,0.0,4.27443125618,108.75,4321.45,1011.0,0.0,54.2,0.0,-1.2,4350.0,0.0,73.8,40.0,0.0,4.0,21.9,2.0,0.0,0.0,0.0,50.0,0.0,1.0,36.9,0.0,0.0,36.9,0.0
25,0.0,3.83636363636,100.0,42.2,11.0,0.0,10.6,0.0,0.0,100.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,6.719375,200.0,107.51,16.0,0.0,14.6,0.0,0.01,200.0,0.0,0.0,1.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,4.61934235977,142.105263158,2388.2,517.0,0.0,52.8,0.0,-4.0,2700.0,0.0,0.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,3.926975,65.0,3141.58,800.0,3000.0,33.3,76.9230769231,-0.72,195.0,39.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,50.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,3.73987124464,117.666666667,1742.78,466.0,200.0,21.4,50.0,0.1,1765.0,4.0,0.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,7.27984567901,112.0,2358.67,324.0,2302.0,150.0,121.157894737,-10.6,560.0,19.0,22.2,5.0,200.0,5.0,7.2,1.0,200.0,1.0,2.0,60.0,0.0,1.0,22.2,0.0,0.0,22.2,0.0
31,1.0,3.16922648084,183.333333333,4547.84,1435.0,0.0,48.0,0.0,-48.0,1100.0,0.0,0.0,6.0,5.0,1.8,0.0,0.0,3495.0,36.0,0.0,100.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
