id,DayofMonth2_sum,DayofMonth9_sum,DayofMonth16_min,DayofMonth19_median,DayofMonth9_min,DayofMonth18_max,DayofMonth8_sum,DayofMonth17_mean,DayofMonth2_median,DayofMonth1_min,DayofMonth14_min,DayofMonth4_sum
0,109.42,52.22,0.01,5.5,0.07,100.0,97.93,9.18548387097,1.9,0.01,0.01,88.0
1,357.37,261.62,0.01,2.9,0.07,23.8,68.97,3.22794117647,2.0,-2.76,0.01,138.36
6,326.45,98.43,-1.88,2.95,0.01,200.0,344.1,3.67888888889,4.0,0.01,0.01,107.4
7,122.2,976.66,0.01,5.2,-3.42,28.7,457.1,11.3472727273,2.85,1.0,0.01,401.26
8,413.5,352.91,0.04,3.8,-5.0,200.0,206.21,4.19135135135,3.03,0.01,0.06,270.32
9,948.94,449.92,0.04,3.43,-2.46,200.0,439.34,9.145625,3.865,0.02,0.04,584.41
10,28.72,422.4,-6.8,3.4,-2.7,100.0,312.35,2.98529411765,1.0,0.01,-0.18,399.91
11,291.53,178.04,0.01,2.43,0.02,100.0,115.43,2.9990625,2.5,0.02,0.03,187.99
12,394.43,390.33,0.0,5.05,0.5,30.0,251.13,6.25740740741,4.0,0.01,0.45,313.75
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,229.6,251.8,3.3,7.48,0.0,5.9,172.25,8.46666666667,4.6,0.0,1.0,140.5
20,20.4,168.44,0.0,3.1,0.01,100.0,216.94,7.13727272727,6.0,0.01,0.01,150.91
21,157.5,108.8,3.5,14.5,1.0,50.0,23.5,13.9461538462,10.1,0.0,1.5,20.5
22,125.74,167.7,1.0,5.6,1.0,20.0,166.43,5.89848484848,4.8,0.6,0.1,126.9
23,798.72,291.98,0.3,5.5,0.3,400.0,207.7,21.1203030303,4.175,0.4,-3.12,914.28
24,245.92,524.87,0.01,4.5,0.01,8.6,196.48,4.44774193548,3.0,0.0,0.01,321.71
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,126.81,300.71,0.04,2.4,-3.54,100.0,243.4,4.47363636364,3.2,-0.55,-4.0,340.4
28,172.9,90.2,0.1,4.0,1.0,50.0,91.23,10.1806451613,2.0,-0.72,1.0,212.5
29,346.43,90.7,1.0,2.765,1.0,12.0,66.1,3.72608695652,2.5,0.8,1.0,614.1
30,58.0,103.15,0.01,8.05,0.0,150.0,64.21,34.6529411765,6.2,3.5,0.5,69.13
31,281.12,311.53,0.01,1.9,-0.6,10.0,360.03,3.94844827586,3.2,-3.06,-3.54,381.01
36,268.0,400.8,0.1,2.18,0.01,200.0,491.03,6.495,1.665,0.01,-0.78,458.28
37,335.71,272.75,-3.3,3.83,0.35,200.0,517.87,11.2755102041,3.0,-3.54,0.0,390.07
40,115.17,127.09,0.3,3.33,0.4,10.0,112.0,11.49875,3.2,0.3,0.4,556.45
41,180.09,211.99,0.01,1.2,0.01,100.0,285.71,11.9295,3.4,0.01,0.01,187.98
42,415.61,268.03,0.02,1.6,0.01,300.0,492.75,2.85333333333,1.6,0.01,0.01,178.51
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,139.1,495.85,0.1,4.0,0.45,200.0,489.21,4.49622222222,4.15,0.3,-22.0,297.76
45,811.47,800.89,0.01,3.9,0.01,300.0,252.6,16.8786792453,4.2,0.0,0.01,194.38
50,497.92,141.98,0.0,2.75,0.3,9.0,252.48,9.7475,3.5,0.1,0.1,105.31
51,489.63,304.15,0.3,4.7,0.02,10.0,354.53,9.11785714286,4.8,0.02,0.01,158.83
52,509.51,200.62,0.0,5.0,0.1,100.0,275.41,10.5988888889,8.0,1.0,0.1,239.16
53,614.59,428.98,0.01,2.85,0.01,200.0,414.74,7.89454545455,4.65,0.1,0.35,285.1
54,391.3,508.92,0.0,5.75,0.1,200.0,543.66,7.46972222222,5.3,0.8,0.1,533.9
55,750.7,353.12,0.06,3.0,0.01,200.0,240.0,8.53071428571,3.0,-3.3,0.01,211.67
56,16.6,23.5,1.2,4.0,1.1,10.0,0.9,28.8875,2.6,0.3,5.1,130.5
57,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.7,0.0,4.0
58,438.13,822.53,-3.54,2.0,0.01,200.0,420.02,3.34125,2.3,0.01,-3.54,106.85
59,842.49,129.49,0.01,1.4,0.01,150.0,129.93,4.83791666667,2.95,0.02,0.02,302.93
62,133.79,221.5,1.0,5.1,0.2,10.0,339.3,9.90761904762,2.715,-1.14,0.01,40.32
64,127.25,453.29,-0.9,3.15,0.01,20.0,258.52,3.19967741935,3.37,0.01,0.0,475.9
