id,DayofWeek5_count,DayofWeek2_min,DayofWeek0_mean,DayofWeek3_min,DayofWeek1_sum,DayofWeek2_mean,DayofWeek1_count,DayofWeek0_min,DayofWeek5_median,DayofWeek1_median
0,74.0,0.01,7.48141509434,0.01,1137.73,4.58246753247,108.0,0.01,2.25,3.1
1,68.0,-3.54,11.6011290323,0.01,549.27,10.8633050847,106.0,-3.54,3.0,3.1
6,107.0,0.01,5.31875968992,-1.2,841.55,7.74676258993,163.0,0.01,2.8,4.5
7,194.0,0.01,11.4462616822,0.01,2062.01,9.28075117371,177.0,0.01,3.65,3.7
8,170.0,-5.0,7.34299465241,0.01,1539.47,9.89727699531,207.0,0.02,4.6,3.3
9,208.0,0.01,13.7316226415,-2.88,2225.7,9.43588495575,226.0,0.01,3.1,3.1
10,69.0,-1.14,7.73248175182,0.0,1137.32,9.40496815287,162.0,-2.7,1.7,3.825
11,61.0,-1.26,9.80637426901,-2.49,1105.67,3.54797297297,158.0,0.01,1.8,2.7
12,119.0,0.01,8.25015075377,0.0,1390.36,7.54454545455,180.0,0.0,5.0,3.5
13,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0
19,32.0,1.0,16.0756,0.5,373.09,9.68723404255,39.0,0.0,5.5,4.6
20,16.0,0.0,12.8562711864,0.01,1589.62,7.1700877193,171.0,0.0,3.25,2.7
21,0.0,0.1,14.7737142857,1.0,1058.5,7.15614035088,84.0,0.0,0.0,6.0
22,115.0,0.6,18.413125,-14.0,811.27,7.97434108527,149.0,0.5,5.0,5.0
23,114.0,0.2,11.3911333333,0.0,1401.34,12.7337362637,146.0,0.4,5.6,4.7
24,130.0,0.0,9.02794701987,-1.2,1390.35,8.86522292994,153.0,-1.08,5.0,4.0
25,5.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.8,0.0
26,4.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,5.3,0.0
27,64.0,-0.9,13.0276744186,-3.54,1040.2,8.09540816327,108.0,0.1,3.8,3.0
28,104.0,0.3,11.7157377049,0.1,1087.74,5.31222222222,133.0,0.1,3.0,3.0
29,69.0,0.1,6.56205128205,0.73,744.14,4.65494505495,59.0,1.0,3.03,3.95
30,71.0,1.0,5.245,0.5,638.29,23.7731343284,44.0,0.01,4.0,5.325
31,149.0,-3.36,8.31301310044,-2.88,1771.34,5.99581027668,254.0,-48.0,1.2,3.0
36,225.0,0.0,8.78911439114,-1.14,1680.6,4.0952,294.0,-1.14,2.5,2.5
37,233.0,-3.54,7.30689516129,-3.3,4379.5,6.44285106383,223.0,-5.5,3.5,3.53
40,149.0,0.01,6.58774834437,0.01,1285.27,7.19772727273,146.0,0.01,3.6,3.0
41,75.0,0.01,9.83776785714,0.0,624.09,6.53296610169,127.0,0.01,3.0,3.0
42,291.0,0.01,3.09507739938,0.01,2327.92,6.98302083333,322.0,0.01,2.0,2.0
43,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0
44,169.0,-4.66,9.29811881188,0.1,1797.86,8.29995652174,210.0,0.08,3.2,4.0
45,163.0,0.0,9.67199261993,0.0,1840.31,5.43750957854,210.0,-4.7,4.0,4.5
50,78.0,-3.9,5.53776978417,-15.0,1263.73,4.37893258427,182.0,-3.12,2.15,3.45
51,129.0,-0.66,7.04454545455,-3.48,1355.5,6.2,186.0,-3.42,3.6,4.4
52,74.0,0.01,10.1690551181,0.3,1321.46,6.38470588235,126.0,0.0,3.7,4.0
53,223.0,0.01,8.79069767442,0.01,1770.84,8.03869565217,262.0,0.0,4.4,3.6
54,123.0,-3.48,9.36069892473,0.0,1396.83,9.05115606936,181.0,0.0,5.0,4.0
55,179.0,0.01,9.16671532847,0.01,1785.74,4.92157258065,252.0,0.01,3.5,3.0
56,0.0,0.8,9.67407407407,0.2,295.5,10.4487179487,30.0,1.1,0.0,4.8
57,16.0,0.6,2.56666666667,1.0,63.5,30.4076923077,11.0,0.7,2.95,3.3
58,234.0,0.01,8.56442687747,-3.54,1743.42,9.41745833333,255.0,-2.04,3.0,2.0
59,136.0,-3.54,6.3974251497,0.01,799.21,8.114,153.0,0.01,2.32,3.0
62,62.0,0.0,10.0666216216,-1.14,879.15,8.96204819277,95.0,-1.14,4.55,4.5
64,136.0,-0.8,7.54134078212,-4.1,772.65,7.23077844311,207.0,-0.9,3.55,2.7
65,96.0,0.03,5.33917910448,-25.0,956.86,5.41131944444,129.0,-3.42,4.1,3.3
66,154.0,-2.0,5.43037037037,0.01,1176.84,6.9592519685,221.0,-3.4,1.5,1.9
67,140.0,0.02,8.03627118644,0.0,1962.96,7.85,228.0,0.01,1.5,3.0
68,388.0,-1.14,6.24252604167,-4.0,2339.9,5.05297029703,414.0,-1.14,2.4,2.45
69,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
70,87.0,-12.6,12.07072,-8.0,1634.48,6.8512,169.0,0.0,5.0,4.0
71,32.0,0.01,7.25646153846,-6.6,866.23,5.845,72.0,0.01,2.15,3.75
74,157.0,-0.78,6.80739583333,-1.08,1213.61,6.89904564315,222.0,-4.6,3.0,3.5
75,183.0,0.01,5.26847908745,0.02,1537.54,7.74239700375,260.0,0.02,3.0,3.0
76,125.0,-0.96,7.39196969697,-1.14,2070.49,9.86586466165,166.0,0.0,4.0,4.35
77,82.0,0.01,10.5715254237,0.0,1287.58,5.83363636364,106.0,0.0,11.5,5.75
78,136.0,-0.12,8.23840764331,0.01,1458.33,13.2443137255,158.0,-1.2,4.6,5.0
79,81.0,0.01,3.81798507463,0.01,280.0,4.3034,82.0,0.0,1.8,1.55
80,141.0,0.01,6.10294964029,-3.0,1501.41,4.06477351916,271.0,-5.0,2.83,2.0
81,183.0,-3.48,9.22791836735,-3.54,1333.51,7.32145539906,205.0,0.0,2.4,3.4
82,62.0,0.01,4.98057971014,0.01,757.67,5.29952830189,158.0,0.0,1.1,2.2
83,55.0,0.01,10.396875,-3.54,867.16,11.9574157303,105.0,0.01,4.0,3.0
84,80.0,0.01,7.65924528302,0.01,1327.19,7.71247863248,135.0,0.01,3.3,3.6
85,220.0,-3.54,5.26466165414,-10.4,1490.68,8.09621323529,253.0,-3.54,1.95,2.3
86,185.0,0.01,5.89514285714,-3.54,1299.93,9.21497854077,253.0,-9.1,3.0,3.0
