id,DayofYeah250_sum,DayofYeah251_sum,DayofYeah63_sum,DayofYeah248_sum,DayofYeah289_median,DayofYeah193_min,DayofYeah295_max,DayofYeah282_max,DayofYeah187_min,DayofYeah9_min,DayofYeah142_median,DayofYeah129_sum
0,122.99,10.52,3.01,9.79,3.75,0.0,200.0,0.07,0.0,1.8,0.0,0.0
1,0.0,0.0,55.18,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.98
6,11.9,2.6,14.2,13.7,3.75,1.0,8.6,4.1,1.8,1.8,3.15,4.8
7,18.0,14.9,35.5,23.9,6.2,0.0,16.5,200.0,0.0,-3.42,3.6,10.0
8,8.1,15.7,20.08,13.7,5.65,7.0,4.6,9.0,1.23,0.08,4.6,26.58
9,12.43,19.4,37.47,15.23,2.43,5.6,7.8,7.5,2.5,1.8,6.3,44.66
10,0.0,0.0,16.55,0.0,2.0,0.0,4.9,0.9,0.9,5.3,5.85,106.4
11,0.0,1.2,12.62,6.3,1.2,0.3,10.8,6.0,0.0,0.02,2.0,0.3
12,15.16,31.03,32.02,12.0,4.3,0.8,14.4,10.0,0.6,1.0,3.9,43.9
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,13.3,0.0,0.0,-21.2,0.0,0.0,0.1,0.0,0.0,0.0
20,0.0,0.0,106.0,0.0,9.75,0.0,100.0,50.0,0.0,1.0,4.0,0.0
21,0.0,0.0,0.0,0.0,7.9,0.0,6.0,8.0,0.0,0.0,0.0,0.0
22,12.1,21.7,20.4,0.0,5.7,2.0,5.0,6.6,1.0,4.0,4.85,11.7
23,34.8,26.4,545.0,16.8,3.3,0.0,12.0,17.4,0.9,3.3,3.8,25.8
24,12.6,5.6,19.8,20.2,4.0,0.0,5.1,30.0,7.1,0.0,3.5,7.1
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,1.0,10.3,0.0,19.3,0.8,100.0,3.6,0.0,2.8,1.1,0.0
28,10.6,8.7,6.1,8.3,3.85,0.0,1.8,15.0,0.0,0.0,3.6,10.0
29,12.2,9.5,0.0,25.7,2.85,0.0,8.1,14.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,10.0,0.0,7.4,8.0,4.4,0.0,3.2,0.0,0.0
31,37.16,10.0,13.35,25.5,2.15,0.6,6.6,8.6,-3.9,0.02,4.6,121.4
36,18.15,15.41,116.6,14.73,1.1,16.7,3.0,5.6,1.18,1.2,5.3,18.8
37,13.6,9.8,30.6,13.2,1.35,0.5,7.5,10.0,0.35,6.5,2.25,49.95
40,11.46,0.0,12.63,10.84,1.8,0.1,200.0,10.0,1.0,5.0,5.5,16.9
41,10.4,15.3,14.7,9.72,3.8,1.5,7.0,14.9,0.0,1.0,3.13,5.65
42,17.05,321.06,15.0,5.13,3.0,0.09,5.0,6.2,0.01,0.13,5.8,15.93
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,16.1,0.7,20.8,15.8,4.45,4.0,5.6,5.6,1.0,3.0,4.0,216.7
45,84.86,17.5,18.57,13.83,8.1,1.0,20.4,7.0,1.0,0.01,3.33,219.01
50,61.23,33.2,5.6,1.1,2.0,1.2,15.3,10.0,0.4,0.0,3.0,1.6
51,17.86,6.0,16.5,15.35,2.0,1.0,6.0,10.0,0.4,6.6,5.6,22.2
52,215.2,29.63,25.0,18.5,0.0,0.0,0.0,15.0,0.0,0.1,4.0,1.1
53,19.55,20.14,19.93,37.9,1.975,1.0,4.11,5.5,0.0,1.0,5.5,233.36
54,36.0,39.5,17.6,22.73,5.1,0.6,5.0,4.3,0.8,3.0,5.55,22.1
55,15.18,19.1,19.8,15.08,3.5,0.7,6.0,4.8,1.0,0.08,4.2,3.81
56,0.0,0.0,0.0,0.0,4.6,0.0,12.6,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0
58,3.61,6.21,24.41,12.01,1.7,1.0,5.0,6.6,0.0,0.01,2.0,14.2
59,0.11,4.2,8.56,34.01,6.1,1.3,8.5,5.3,1.1,0.08,2.05,28.4
62,20.0,145.0,0.0,218.7,9.9,0.0,7.6,15.5,0.0,2.5,0.0,0.0
64,26.7,127.73,27.9,14.1,2.8,0.0,0.0,4.5,1.5,2.0,1.4,34.8
65,5.6,0.0,18.8,8.6,2.5,4.0,0.0,5.5,2.4,3.0,3.3,7.0
66,0.0,0.0,0.97,0.0,3.8,0.03,100.0,5.9,0.04,0.01,1.5,132.2
67,6.0,130.5,8.1,25.7,1.0,8.0,100.0,0.0,1.5,1.0,2.45,11.85
68,219.73,9.98,18.63,16.4,2.65,0.1,6.6,5.6,-0.66,0.01,3.6,21.48
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,22.9,0.0,0.0,0.0,100.0,0.0,2.0,3.4,0.0,27.5
71,0.0,15.4,121.9,31.5,3.1,0.0,5.6,5.5,0.0,0.0,0.0,0.0
74,0.0,0.0,30.35,13.5,3.6,2.3,2.0,100.0,0.8,0.05,2.65,17.6
75,10.3,12.8,234.8,22.1,5.3,0.0,4.0,100.0,0.0,0.8,4.5,10.65
76,18.72,17.7,227.72,34.18,0.01,0.0,20.7,12.5,2.0,0.01,19.6,316.0
77,29.9,435.9,21.1,30.7,0.0,1.5,0.0,30.0,0.0,11.6,15.25,13.8
78,11.6,2.82,11.6,6.9,14.8,1.0,11.5,5.6,1.0,0.8,5.6,3.6
79,1.0,0.08,0.09,4.62,2.75,1.0,5.0,3.0,1.0,0.0,3.65,6.5
80,22.1,31.69,15.3,24.12,2.4,0.0,7.0,16.0,0.1,0.11,1.3,41.61
81,18.59,9.22,0.0,30.73,1.8,0.5,15.0,6.6,9.8,0.6,2.4,0.02
82,0.0,0.0,10.1,1.12,3.2,0.0,11.5,4.0,4.6,0.01,0.0,0.0
83,0.0,10.0,209.4,16.7,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0
84,21.4,28.31,109.4,8.43,5.95,0.0,6.0,8.1,0.0,1.0,0.0,5.8
85,4.7,4.0,8.43,5.61,1.0,0.8,5.4,13.9,2.1,1.4,1.75,14.76
86,139.2,43.0,23.73,29.83,12.9,0.0,13.0,15.0,0.4,1.65,4.8,27.6
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,14.7,215.0,13.67,19.9,4.1,0.0,100.0,15.0,1.0,4.1,3.1,112.15
89,18.8,19.9,18.3,118.3,4.3,0.0,9.0,5.6,0.0,0.0,0.0,0.0
92,11.6,4.5,13.71,9.1,0.02,0.7,6.1,4.1,0.0,0.01,5.1,38.11
93,11.81,8.3,12.1,11.06,4.365,0.73,7.6,5.6,1.8,0.08,4.6,6.39
94,0.0,6.9,14.3,18.56,0.9,0.2,100.0,5.2,0.01,0.02,1.2,107.92
95,0.0,6.4,9.2,13.1,57.3,1.0,4.8,4.2,3.0,0.0,4.6,2.83
98,12.9,18.3,5.8,11.9,4.55,0.0,4.6,6.0,1.5,3.3,2.9,15.71
99,20.0,16.2,12.2,13.2,101.65,1.0,0.0,5.6,0.35,1.5,4.0,16.2
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,15.8,7.4,7.0,16.5,4.3,0.0,5.6,8.0,7.3,0.0,5.1,1.5
113,4.2,4.6,5.1,4.5,0.0,0.0,0.0,9.5,4.2,0.0,1.585,0.0
118,6.57,14.29,34.64,237.51,0.975,7.8,5.0,200.0,0.0,0.03,5.3,61.31
119,0.0,11.9,25.2,21.8,6.7,10.2,28.5,4.0,2.2,0.0,9.5,3.56
122,20.73,239.3,129.1,14.47,5.8,0.0,9.0,13.0,0.9,4.1,5.6,22.6
123,23.63,14.7,13.95,1.4,1.8,2.4,7.4,3.7,1.0,0.2,4.665,13.23
124,21.13,18.2,29.1,424.1,1.95,2.2,19.0,2.0,5.0,0.0,0.0,16.1
125,11.3,15.7,2.0,9.7,1.8,1.0,8.7,0.0,1.5,0.01,0.0,6.01
126,60.2,7.09,8.18,43.6,5.2,0.1,4.0,100.0,0.9,0.14,7.0,14.2
127,125.5,25.0,110.69,30.4,4.6,1.0,6.2,100.0,0.6,0.08,4.0,12.3
128,1.7,15.21,17.92,14.4,0.1,0.0,11.1,10.6,0.0,0.0,1.775,32.24
129,30.9,17.4,0.0,137.5,5.6,0.7,6.1,11.8,0.7,0.8,2.8,36.85
130,28.9,27.3,237.77,31.93,3.75,0.0,9.6,7.1,2.5,0.01,3.6,17.8
131,21.8,50.3,20.32,28.5,5.3,0.35,5.5,5.6,0.5,0.5,4.0,17.5
132,13.36,14.33,14.81,14.12,3.565,0.0,6.6,200.0,0.01,4.6,2.8,209.9
133,0.0,0.0,1.93,0.0,2.4,0.0,4.6,100.0,0.2,0.4,1.4,0.0
134,21.5,11.8,20.75,167.44,1.2,-1.02,8.6,30.0,0.7,0.15,6.3,28.2
135,0.0,0.0,2.6,0.0,6.9,0.0,3.26,0.0,0.0,1.6,3.45,24.4
138,29.57,35.95,11.04,0.0,4.65,0.0,10.9,7.6,0.0,0.17,3.0,44.09
139,15.9,19.4,218.07,3.5,4.6,1.8,300.0,9.8,4.6,0.05,10.5,0.0
142,0.0,19.31,0.0,12.41,4.6,0.0,5.6,9.0,0.0,1.8,0.0,0.0
143,19.0,214.8,0.0,8.21,17.3,0.2,0.0,100.0,0.0,0.01,3.015,21.7
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,29.53,32.3,2.95,21.0,2.0,0.0,7.2,3.2,0.0,0.06,0.4,11.58
150,323.7,19.83,516.0,15.23,2.65,0.01,8.6,6.1,0.4,2.4,3.5,12.9
151,5.6,0.7,14.91,21.7,1.4,1.5,5.0,6.0,0.5,0.09,1.8,17.3
152,15.64,8.8,22.95,26.94,1.6,0.8,5.6,5.7,0.14,0.13,1.865,31.24
153,13.14,16.4,18.2,24.75,3.1,0.5,9.0,10.0,2.0,0.04,3.3,18.5
154,17.67,7.7,11.11,19.95,3.775,2.0,2.6,13.7,2.0,1.63,3.0,26.7
155,120.5,18.1,13.74,28.4,3.55,0.4,6.0,8.0,1.1,0.15,2.9,17.0
158,5.6,63.4,18.72,4.2,4.3,0.6,3.4,0.8,0.08,0.0,0.7,123.42
159,11.29,2.13,138.0,125.34,2.6,0.3,100.0,1.0,0.6,5.0,3.015,11.51
160,13.3,0.0,15.34,123.75,3.55,4.5,8.9,7.6,-0.78,3.1,3.05,12.8
161,7.6,7.4,216.7,8.43,2.915,3.0,10.9,5.1,2.1,3.0,4.25,6.6
162,23.12,21.2,219.39,118.19,1.1,0.0,4.6,100.0,0.0,0.01,5.7,9.01
163,0.0,0.0,18.76,33.9,5.6,0.17,4.1,8.0,0.16,0.1,0.0,0.0
164,11.86,20.7,20.1,17.83,8.05,0.0,0.0,10.2,0.0,5.9,4.1,17.0
165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,128.9,21.5,9.4,17.2,3.15,0.0,200.0,200.0,2.0,0.4,5.4,28.3
169,24.71,20.31,58.6,13.41,1.5,0.0,200.0,200.0,0.7,0.07,5.6,16.7
170,12.19,18.31,24.69,8.04,1.0,0.2,16.5,3.0,0.7,4.1,2.1,19.9
171,26.1,39.5,16.48,32.76,2.0,1.2,4.56,100.0,0.2,0.09,4.5,12.78
172,12.6,21.9,13.0,8.0,6.0,0.0,8.0,0.7,0.0,0.0,3.0,42.9
173,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,3.0,0.0,0.0
174,13.96,12.75,14.63,721.76,1.8,0.03,16.5,7.0,2.2,0.6,2.9,14.93
175,27.0,15.1,19.01,22.32,1.6,2.8,100.0,5.4,1.5,-3.3,3.0,15.2
176,15.1,11.3,12.6,20.02,3.6,2.6,5.5,5.5,2.4,1.0,3.0,16.81
177,12.0,0.0,17.5,28.3,5.8,0.0,10.0,4.6,1.0,6.0,4.6,11.6
178,19.7,14.7,39.82,15.58,2.65,0.0,9.0,0.0,13.0,0.9,6.0,21.0
179,23.53,15.23,0.0,52.0,0.6,0.0,9.0,200.0,0.0,0.0,6.8,0.0
180,20.66,16.18,0.09,20.0,1.215,0.9,0.07,30.0,2.5,0.0,5.7,24.2
181,16.58,13.3,16.75,13.2,5.7,1.5,4.5,5.6,3.0,0.8,5.0,112.9
184,14.2,21.5,18.87,20.22,1.5,0.1,5.0,5.5,-0.54,1.2,3.5,13.06
185,0.0,1.0,15.15,17.4,2.8,0.1,8.0,5.4,0.0,0.11,3.5,7.23
186,0.0,0.0,17.91,0.0,0.0,0.01,0.0,0.0,0.7,0.0,2.5,81.87
187,121.1,11.77,15.63,14.6,1.8,0.6,100.0,5.6,0.65,0.04,0.6,8.41
188,5.1,103.5,111.2,9.2,2.9,4.6,5.6,4.6,4.6,3.5,5.7,14.2
189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,9.5,15.5,58.0,13.4,4.6,0.0,47.9,5.6,0.6,2.5,4.6,28.9
193,11.23,11.2,1.0,13.6,2.35,0.0,5.4,5.6,0.0,1.5,5.6,13.92
194,10.6,8.8,12.61,9.83,10.5,5.6,15.3,0.0,5.0,0.0,7.8,5.0
195,0.0,0.0,12.09,16.0,5.205,2.3,200.0,10.4,5.3,2.0,16.2,0.0
