id,HourofDay17_count,HourofDay12_count,HourofDay9_count,HourofDay16_count,HourofDay11_count,HourofDay11_mean,HourofDay23_min,HourofDay18_mean,HourofDay15_sum,HourofDay7_sum,HourofDay8_median,HourofDay17_mean
0,209.0,24.0,1.0,83.0,17.0,9.69882352941,0.01,5.47754098361,147.41,6.1,0.06,5.83784688995
1,112.0,122.0,9.0,39.0,98.0,10.6932653061,0.08,8.93760869565,102.43,0.0,1.005,8.41607142857
6,385.0,103.0,3.0,27.0,118.0,7.11559322034,0.01,7.30368421053,107.63,0.02,3.2,7.00872727273
7,532.0,44.0,13.0,41.0,341.0,7.26794721408,0.01,25.848358209,21.7,100.15,2.6,9.31490601504
8,661.0,35.0,7.0,16.0,308.0,10.8412662338,0.01,7.19285714286,13.7,0.0,2.7,10.6912859304
9,859.0,41.0,8.0,22.0,292.0,10.8749315068,0.01,2.8825,66.47,116.21,2.2,10.3737369034
10,130.0,49.0,18.0,41.0,184.0,10.2686413043,0.01,4.24,17.94,20.32,3.5,12.536
11,124.0,141.0,20.0,23.0,135.0,15.75,0.01,6.49851351351,31.95,45.79,1.715,6.4525
12,73.0,167.0,8.0,47.0,120.0,8.8975,0.01,7.76590277778,203.7,98.06,3.0,6.94465753425
13,1.0,1.0,2.0,0.0,6.0,49.5166666667,0.0,2.0,0.0,0.0,0.6,9.6
14,2.0,3.0,0.0,0.0,2.0,0.01,0.0,9.75,0.0,0.0,7.3,7.1
19,32.0,17.0,3.0,16.0,35.0,10.4862857143,40.0,12.1433333333,246.56,19.6,2.0,10.106875
20,90.0,69.0,11.0,32.0,100.0,11.8802,0.01,10.1530612245,182.4,12.84,1.5,10.3097777778
21,43.0,16.0,0.0,14.0,75.0,10.764,0.0,17.8179487179,42.05,6.4,3.5,13.3604651163
22,204.0,102.0,34.0,13.0,240.0,9.49570833333,0.1,8.65447916667,34.87,94.24,3.0,16.181127451
23,161.0,108.0,50.0,15.0,255.0,8.61325490196,0.1,9.81923664122,18.34,53.0,3.0,13.0530434783
24,381.0,83.0,6.0,65.0,288.0,10.5763888889,0.01,4.38666666667,538.31,13.7,2.35,6.2701312336
25,2.0,1.0,0.0,0.0,4.0,0.775,0.0,100.0,0.0,7.8,2.0,9.9
26,2.0,4.0,0.0,0.0,0.0,0.0,0.0,37.0142857143,0.0,0.0,4.5,6.3
27,47.0,46.0,26.0,22.0,94.0,10.5632978723,0.1,9.32388888889,195.7,59.8,3.0,6.91489361702
28,263.0,59.0,22.0,58.0,204.0,9.17009803922,0.0,8.5775,45.1,219.89,1.9,6.39247148289
29,92.0,42.0,9.0,23.0,159.0,10.9151572327,0.0,4.1,53.15,32.24,10.0,5.4177173913
30,59.0,58.0,8.0,12.0,63.0,19.2222222222,150.0,19.081,30.32,4.5,3.0,11.0140677966
31,115.0,176.0,46.0,21.0,133.0,5.01270676692,-3.54,10.1717361111,203.14,121.9,3.1,7.54130434783
36,624.0,253.0,11.0,91.0,204.0,6.65960784314,0.01,3.34149425287,209.15,37.63,1.5,5.78830128205
37,655.0,154.0,20.0,111.0,177.0,8.70310734463,0.02,18.9796190476,514.0,60.7,1.5,5.57638167939
40,294.0,109.0,24.0,16.0,272.0,9.10709558824,0.01,5.34360655738,36.7,58.6,2.1,10.0345238095
41,102.0,79.0,8.0,34.0,148.0,9.23851351351,0.01,5.34465517241,153.71,52.23,2.3,5.51823529412
42,257.0,203.0,60.0,52.0,354.0,8.90324858757,0.01,7.39733009709,349.19,86.48,1.3,10.1338521401
43,3.0,4.0,0.0,0.0,4.0,4.65,0.0,3.36,0.0,3.0,0.0,6.26666666667
44,236.0,278.0,36.0,46.0,168.0,13.2438095238,0.1,5.06268421053,173.8,40.83,2.5,7.58419491525
45,285.0,213.0,14.0,34.0,206.0,7.36786407767,0.01,10.4894339623,34.4,836.02,4.5,7.70978947368
50,178.0,85.0,26.0,40.0,138.0,9.01202898551,0.1,5.21634408602,15.4,398.11,3.5,6.25679775281
51,172.0,242.0,57.0,41.0,137.0,11.0945255474,-3.36,6.79207407407,75.32,91.38,3.0,10.3500581395
52,116.0,104.0,23.0,9.0,78.0,13.8256410256,0.1,10.138877551,62.4,158.18,3.5,9.59551724138
53,190.0,198.0,122.0,59.0,452.0,5.90946902655,0.0,13.3456390977,132.8,6.8,2.63,4.43763157895
54,145.0,235.0,83.0,33.0,137.0,9.17233576642,0.1,10.6370744681,74.85,464.4,3.9,8.22206896552
55,260.0,265.0,33.0,57.0,146.0,5.37773972603,0.01,11.3463253012,259.17,63.8,3.0,7.06057692308
56,15.0,29.0,2.0,6.0,91.0,16.1681318681,0.0,11.475,104.8,0.0,1.55,6.80666666667
57,12.0,9.0,2.0,4.0,16.0,18.625,0.0,4.36666666667,28.9,6.8,4.9,20.95
58,228.0,181.0,80.0,33.0,403.0,6.81429280397,-0.96,10.8714150943,260.95,72.31,1.8,8.07355263158
59,233.0,79.0,47.0,75.0,129.0,11.3141860465,0.01,4.27283783784,64.02,52.41,2.0,8.54939914163
62,53.0,73.0,58.0,34.0,69.0,10.9517391304,0.1,3.84888888889,295.2,7.0,6.5,15.0601886792
64,215.0,134.0,21.0,62.0,156.0,11.8195512821,-0.66,9.51079646018,63.4,394.41,2.2,6.72451162791
65,186.0,53.0,13.0,23.0,135.0,9.95711111111,0.01,8.59646551724,14.45,280.0,3.0,6.86827956989
66,257.0,118.0,15.0,78.0,146.0,7.38643835616,0.01,10.8889380531,236.01,63.74,2.0,8.3659922179
67,297.0,83.0,24.0,72.0,213.0,7.86394366197,0.01,12.1507792208,236.53,71.76,1.4,9.27111111111
68,341.0,145.0,138.0,296.0,409.0,6.7630806846,-1.08,3.27463157895,558.45,201.85,2.3,5.04234604106
69,2.0,0.0,0.0,0.0,1.0,3.0,0.2,0.0,5.2,0.0,451.0,3.0
70,143.0,82.0,12.0,42.0,161.0,13.6395031056,-1.02,6.50114583333,314.12,25.6,2.6,8.49202797203
71,67.0,26.0,13.0,14.0,100.0,12.1718,0.01,3.3796969697,39.05,15.4,3.0,4.55970149254
74,288.0,61.0,36.0,52.0,365.0,10.7122465753,-0.96,3.21465116279,155.03,167.35,2.5,7.19993055556
75,193.0,48.0,72.0,61.0,495.0,7.31921212121,0.05,4.68914728682,111.15,70.9,2.65,3.49875647668
76,171.0,59.0,24.0,80.0,101.0,8.42702970297,0.01,7.7475308642,1039.39,0.04,0.01,14.0145614035
77,73.0,49.0,12.0,56.0,20.0,6.085,0.01,15.6105128205,752.3,14.23,1.4,15.4169863014
78,119.0,276.0,13.0,23.0,151.0,10.6378145695,-0.72,4.86796791444,473.24,78.84,3.4,7.57764705882
79,31.0,82.0,39.0,35.0,97.0,8.74298969072,0.05,2.81,20.34,89.93,1.0,5.84806451613
80,186.0,166.0,43.0,49.0,277.0,8.47519855596,0.1,5.79779005525,36.5,538.8,2.5,9.74639784946
81,256.0,182.0,24.0,57.0,227.0,10.2885462555,-3.54,4.97977272727,110.91,60.5,2.4,7.1259375
82,92.0,83.0,36.0,36.0,106.0,8.12801886792,0.02,2.91271428571,31.36,194.09,3.0,6.67413043478
83,37.0,94.0,31.0,23.0,56.0,14.8508928571,0.01,9.57919354839,135.12,39.46,3.33,6.97162162162
84,201.0,54.0,6.0,25.0,105.0,11.7476190476,0.01,4.71843373494,67.32,157.19,3.1,12.4464179104
85,147.0,133.0,69.0,98.0,202.0,7.81410891089,-3.24,3.00036144578,611.78,221.01,1.25,5.03482993197
