id,MonthofYeah8_count,MonthofYeah3_min,MonthofYeah1_count,MonthofYeah9_sum,MonthofYeah5_min,MonthofYeah7_mean,MonthofYeah8_median,MonthofYeah4_min,MonthofYeah9_min,MonthofYeah1_median,MonthofYeah7_count,MonthofYeah4_mean,MonthofYeah10_count,MonthofYeah6_min,MonthofYeah12_count,MonthofYeah8_sum,MonthofYeah7_sum,MonthofYeah8_mean,MonthofYeah11_mean,MonthofYeah2_count,MonthofYeah9_max,MonthofYeah10_min,MonthofYeah9_median,MonthofYeah7_max,MonthofYeah3_sum,MonthofYeah1_sum,MonthofYeah11_min,MonthofYeah12_median,MonthofYeah5_median,MonthofYeah12_sum
0,0.0,0.01,54.0,845.8,0.0,0.0,0.0,0.06,0.05,3.0,0.0,6.71796296296,92.0,0.0,130.0,0.0,0.0,0.0,9.32,12.0,100.0,0.02,3.0,0.0,535.77,404.31,0.01,2.5,0.0,817.23
1,8.0,0.0,0.0,0.0,0.07,11.1220408163,2.35,0.01,0.0,0.0,98.0,9.65379084967,0.0,-3.54,0.0,223.62,1089.96,27.9525,0.0,0.0,0.0,0.0,0.0,200.0,1406.95,0.0,0.0,0.0,3.0,0.0
6,28.0,0.01,50.0,342.25,-1.88,8.10833333333,4.6,-1.08,-1.2,4.3,36.0,6.62669491525,104.0,0.9,74.0,317.8,291.9,11.35,5.31780487805,28.0,23.5,0.01,3.2,100.0,867.37,311.88,0.01,2.55,4.6,545.27
7,120.0,0.01,69.0,1219.55,0.01,13.9202702703,4.6,0.01,0.5,3.6,74.0,8.67464646465,182.0,0.01,146.0,2083.7,1030.1,17.3641666667,9.21505747126,0.0,200.0,0.01,3.8,200.0,1235.75,400.35,-3.54,3.55,4.0,1015.84
8,6.0,0.01,99.0,932.46,0.02,8.23493333333,5.25,0.07,0.07,3.0,75.0,9.7803125,139.0,0.01,179.0,242.2,617.62,40.3666666667,5.47460606061,43.0,100.0,-5.0,3.1,200.0,1713.24,547.74,0.03,3.1,5.6,1332.6
9,1.0,0.01,100.0,982.21,-2.46,11.9318181818,0.3,0.09,0.01,3.9,55.0,11.1990131579,200.0,-2.88,188.0,0.3,656.25,0.3,7.2674,0.0,200.0,0.01,2.5,100.0,1945.85,891.01,0.01,3.1,4.965,1772.64
10,4.0,-1.02,27.0,566.98,-6.8,5.70609756098,1.5,-1.2,-7.9,0.08,41.0,7.60372413793,44.0,0.01,54.0,7.4,233.95,1.85,6.78272727273,18.0,200.0,-0.54,1.2,100.0,989.9,82.96,-0.6,1.65,3.25,527.25
11,0.0,-0.45,21.0,984.08,-6.0,8.89722222222,0.0,0.01,-2.49,1.5,54.0,5.24801980198,69.0,-6.0,81.0,0.0,480.45,0.0,6.75323943662,4.0,200.0,0.01,2.4,117.7,735.94,79.61,0.03,4.0,2.0,777.41
12,6.0,0.0,63.0,774.35,0.4,9.42653061224,5.3,0.0,0.01,5.0,49.0,10.4077659574,112.0,0.1,120.0,124.85,461.9,20.8083333333,13.5594827586,6.0,46.1,0.1,3.5,100.0,1083.53,552.03,0.1,3.8,3.6,1203.7
13,15.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,884.4,0.0,58.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,13.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,890.92,0.0,68.5323076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,27.0,0.0,0.0,0.0,1.35,11.2586206897,4.5,0.3,0.0,0.0,87.0,9.568,0.0,0.75,0.0,268.4,979.5,9.94074074074,0.0,0.0,0.0,0.0,0.0,100.0,600.53,0.0,0.0,0.0,5.6,0.0
20,0.0,0.01,23.0,346.6,0.01,40.3333333333,0.0,0.0,0.0,1.8,3.0,10.1153968254,81.0,0.15,136.0,0.0,121.0,0.0,7.47105882353,37.0,200.0,0.01,4.6,100.0,822.04,64.8,-4.0,2.0,5.0,1073.22
21,0.0,10.0,18.0,383.1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,64.0,0.0,72.0,0.0,0.0,0.0,13.783943662,0.0,100.0,1.0,5.0,0.0,20.0,165.7,0.01,4.85,0.0,796.9
22,18.0,0.5,56.0,1577.8,0.01,4.78333333333,3.6,0.1,-7.3,8.2,54.0,10.9796875,81.0,0.01,73.0,476.62,258.3,26.4788888889,6.15952380952,32.0,500.0,0.02,5.0,18.2,1312.63,672.45,-10.0,5.0,3.7,1452.47
23,0.0,0.0,59.0,1006.7,0.6,4.0546875,0.0,0.0,-3.42,5.6,64.0,9.76016528926,64.0,0.45,142.0,0.0,259.5,0.0,13.313627451,1.0,500.0,0.64,3.9,50.0,1636.48,670.61,0.3,4.25,4.8,1347.29
24,21.0,0.01,24.0,927.81,0.0,11.3312280702,1.8,0.0,0.01,4.85,57.0,7.81914529915,127.0,-1.08,110.0,304.12,645.88,14.4819047619,6.10131578947,30.0,100.0,0.01,4.45,200.0,1029.23,222.8,-1.2,4.4,4.6,822.0
25,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,142.1,0.0,14.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,17.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,307.51,0.0,18.0888235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,16.0,-0.48,16.0,900.19,0.12,4.0125,4.4,-0.9,-4.0,3.6,48.0,7.056,73.0,0.4,33.0,172.2,192.6,10.7625,17.2673529412,0.0,200.0,-3.54,3.6,50.0,1041.54,78.52,0.09,4.0,3.7,453.71
28,21.0,0.03,37.0,669.35,0.8,1.0,3.4,0.35,0.1,4.8,2.0,6.21,121.0,0.5,98.0,191.73,2.0,9.13,6.40828947368,22.0,100.0,-0.72,3.065,1.0,1086.78,308.68,0.1,3.9,3.0,1001.68
29,1.0,1.0,24.0,596.91,2.0,2.79705882353,1.9,0.8,0.5,1.9,17.0,4.63636363636,57.0,0.1,83.0,1.9,47.55,1.9,7.82109756098,0.0,300.0,0.7,3.0,15.0,524.63,251.8,0.5,3.4,4.15,656.63
30,11.0,0.5,53.0,921.14,1.0,17.7384615385,8.9,0.3,0.73,4.2,26.0,39.05,26.0,0.5,75.0,81.4,461.2,7.4,10.8029411765,7.0,200.0,1.5,7.4,200.0,283.4,704.1,-10.6,4.0,8.0,838.63
31,53.0,-7.7,64.0,1317.72,-3.06,7.38527777778,3.6,-3.54,-3.54,0.3,108.0,4.76972093023,93.0,-3.36,109.0,401.44,797.61,7.57433962264,6.62304347826,0.0,400.0,-3.24,3.6,100.0,1339.07,277.32,-3.0,0.9,1.5,635.75
36,156.0,-1.02,46.0,804.74,-0.9,7.99355191257,2.55,-1.14,-1.14,4.6,183.0,5.09983333333,214.0,0.2,145.0,834.7,1462.82,5.35064102564,6.05597826087,26.0,100.0,-5.6,1.8,200.0,1162.29,195.62,-1.14,3.0,3.5,1045.93
37,146.0,0.15,34.0,983.3,0.35,12.4218644068,3.0,-7.0,0.5,5.0,236.0,7.63228395062,151.0,-5.5,158.0,1039.11,2931.56,7.11719178082,8.76945205479,0.0,200.0,0.2,4.6,200.0,1623.83,259.23,-3.54,3.4,3.0,1092.62
40,7.0,0.01,56.0,530.67,0.01,8.11325842697,1.4,0.4,0.01,2.65,89.0,8.47,85.0,0.01,94.0,45.6,722.08,6.51428571429,8.15494505495,5.0,200.0,0.02,2.3,200.0,759.86,396.93,0.07,5.0,3.0,595.73
