id,2015-05-21_mean,2014-09-05_mean,2014-09-01_mean,2014-10-27_mean,2015-07-19_median,2013-09-02_sum,2014-12-10_min,2014-09-26_mean,2015-03-11_sum,2015-02-05_min,2015-07-23_count,2014-12-24_count,2013-09-23_sum,2015-06-29_min,2014-09-08_sum,2014-04-03_min,2014-11-21_sum,2015-06-04_mean,2014-08-07_max,2014-09-24_mean,2014-10-07_mean,2014-09-07_sum,2015-05-22_median,2015-01-04_min,2015-05-23_sum,2015-07-20_mean,2015-05-30_mean,2014-09-22_mean,2014-12-26_median,2014-07-01_max,2014-10-17_min
0,0.0,0.0,0.0,0.0,0.0,11.69,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.44666666667,0.0,0.0,0.0,2.95,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.46666666667,0.0,0.0,0.0,0.0,0.0,0.0,10.4,3.3,1.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0
7,0.0,11.95,4.375,3.2,0.0,0.0,3.9,3.68333333333,20.7,0.0,1.0,2.0,0.0,1.0,14.9,0.0,9.1,30.275,0.0,10.5333333333,2.775,18.0,3.6,0.96,244.21,0.0,4.462,25.9555555556,4.2,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
9,8.06,2.53833333333,2.11571428571,28.2675,0.0,0.0,0.8,17.5757142857,53.1,0.0,0.0,7.0,0.0,1.8,19.4,0.0,23.03,2.912,0.0,1.35,2.895,12.43,6.3,0.05,19.64,0.0,5.25,2.966,5.5,0.0,0.17
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.03,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0
11,4.95714285714,3.15,31.2,5.76666666667,0.0,0.0,6.0,1.5,12.55,0.0,0.0,0.0,0.0,3.4,1.2,0.0,15.0,2.24,0.0,5.5875,0.5,0.0,2.0,0.14,0.0,0.0,0.0,3.26833333333,0.0,0.0,1.2
12,19.2428571429,2.4,2.56,11.82,0.0,0.0,0.1,12.6666666667,21.0,0.0,0.0,2.0,0.0,0.5,31.03,0.0,12.2,15.4285714286,0.0,4.53333333333,3.71666666667,15.16,3.9,5.0,38.9,0.0,0.4,4.03333333333,4.4,0.0,1.66
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
